unit;id;east;north
Neu Ulm, Bad Held;10026301;573054;5360044
Dillingen;10035801;610566;5380536
Donauwörth;10039802;632529;5396881
Ingolstadt Luitpoldstraße;10046105;678305;5403326
Kelheim;10053009;709869;5422125
Oberndorf;10056302;720744;5425940
Schwabelweis;10062000;729451;5434823
Pfelling;10078000;774718;5420860
Hofkirchen;10088003;802908;5399684
Mittenwald;16000708;671208;5256930
Rißbachdüker;16001303;681928;5269498
Sylvenstein;16002500;691534;5274023
Lenggries;16003003;693016;5284410
Bad Tölz KW;16004006;690280;5294863
Puppling;16004403;682764;5309876
München;16005701;693161;5335716
Freising;16006500;703713;5364213
Landshut Birket;16007004;731336;5379682
Landshut Flutmulde;16007106;731491;5381728
Landau;16008007;771822;5397931
Plattling;16008506;785327;5409266
